Id;ParentId;Index;Title;Description
M007431;T001143_1;90;Onderwijssoort;"Leerlingen en studenten naar onderwijssoort en woonregio.
Deze indicator bevat het aantal leerlingen en studenten in het primair onderwijs (po), voortgezet onderwijs (vo) inclusief het voortgezet algemeen volwassenenonderwijs (vavo), middelbaar beroepsonderwijs (mbo), hoger beroepsonderwijs (hbo) en wetenschappelijk onderwijs (wo) naar woonregio op 1 oktober van een betreffend school-/studiejaar.
Leerlingen/studenten die bij meerdere onderwijssoorten staan ingeschreven, bijvoorbeeld hbo en wo, worden bij beide onderwijssoorten geteld.


Van sommige leerlingen of studenten is de woongemeente niet bekend. In dat geval worden deze alleen meegenomen in het totaal van Nederland. De optelling van gemeentelijke aantallen kan derhalve lager zijn dan het totaal van Nederland.
Het totaal aantal leerlingen en studenten woonachtig in een gemeente is inclusief de personen waarvan niet bekend is in welke wijk of buurt zij wonen. De optelling van aantallen bij de wijken binnen een gemeente kan derhalve lager zijn dan het totaal aantal van de gemeente. 
De onderwijscijfers zijn afgerond op tientallen. Hierdoor kan het ook voorkomen dat de som van regionale detailgegevens afwijkt van het totaal.

De woonregio is de regio waarin een leerling/student eind september van het betreffende school-/studiejaar woont. Wanneer van een leerling/student geen inschrijving bekend is in de Basisregistratie Personen, is de regio gebruikt waarin de leerling/student volgens de onderwijsregistratie verblijft. 
Een leerling/student kan in een andere regio naar school gaan. Vooral bij het hoger onderwijs starten regelmatig Duitse en Belgische studenten hun opleiding net over de grens in Nederland maar wonen dan nog in Duitsland of België, waardoor ze bij woonregio onbekend worden geteld.
"
T001143_2;T001143_1;96;Hoogst behaald onderwijsniveau;"Deze variabelen geven het hoogst behaalde onderwijsniveau van personen per gemeente, wijk en buurt in Nederland. De gegevens hebben betrekking op alle personen die op 1 oktober in een Nederlandse gemeente waren ingeschreven en op dat moment behoorden tot de leeftijdscategorie 15 tot 75 jaar.

Cijfers worden afgerond op tientallen.
De gepresenteerde cijfers kunnen licht afwijken van de som van de gegevens op onderliggende regionale niveaus. Dit heeft te maken met afronding evenals met de toegepaste schattingsmethode.
Buurten / wijken met minder dan 30 inwoners worden onderdrukt. Het kan voorkomen dat extra buurten  / wijken worden onderdrukt i.v.m. risico op indirecte onthulling of groepsonthulling. 
"
M001796_1;;100;Arbeid;"Deze variabelen geven per gemeente, wijk en buurt inzicht in de werkzame beroepsbevolking, nettoarbeidsparticipatie en het percentage werknemers en zelfstandigen. 

De nettoarbeidsparticipatie is vermeld als percentage van het totaal aantal personen van 15 tot 75 jaar en vermeld bij minimaal 150 inwoners in een buurt. Het percentage werknemers en het percentage zelfstandigen zijn vermeld bij minimaal 150 werkenden (van 15 tot 75 jaar) in een buurt
"
M001796_3;M001796_1;103;Onderverdeling werkenden;
M000228;;108;Inkomen;"Deze variabelen geven informatie over het persoonlijk inkomen van personen in particuliere huishoudens waarvan het inkomen is waargenomen en het inkomen van particuliere huishoudens met een waargenomen inkomen. De gegevens komen uit de Integrale Inkomens- en Vermogensstatistiek (IIVS) met als populatie de bevolking van Nederland op 1 januari van het verslagjaar met het inkomen over het verslagjaar. 

De Integrale Inkomens- en Vermogensstatistiek van het CBS is voornamelijk gebaseerd op registers afkomstig van het Ministerie van Financiën (de fiscale registers) en de bevolkingsregisters van de Nederlandse gemeenten (Basisregistratie personen). De Basisregistratie personen is een register waarin alle inwoners van een gemeente behoren te zijn ingeschreven. Uitgezonderd zijn:
- Inwoners van Nederland die gebruik maken van uitzonderingsregels die gelden met betrekking tot opneming in de bevolkingsregisters (niet-Nederlandse diplomaten en niet-Nederlandse NAVO militairen). Zij mogen zelf bepalen of zij in de bevolkingsregisters ingeschreven worden of niet.
- Asielzoekers die korter dan zes maanden in de centrale opvang verblijven en nog geen verblijfsvergunning hebben gekregen.
"
M000230;M000228;109;Inkomen van personen;"De doelpopulatie bestaat uit personen behorende tot particuliere huishoudens waarvan het inkomen is waargenomen.
 
De inkomensgegevens zijn gebaseerd op het persoonlijk inkomen. Dit omvat de volgende bestanddelen van het bruto-inkomen van een persoon:
- inkomen uit arbeid;
- inkomen uit eigen onderneming;
- uitkering inkomensverzekeringen;
- uitkering sociale voorzieningen (met uitzondering van kinderbijslag).
"
M000229;M000228;115;Inkomen van huishoudens;De doelpopulatie bestaat uit particuliere huishoudens waarvan het inkomen is waargenomen.
M000267;;124;Sociale zekerheid;"Deze variabelen geven per gemeente, wijk en buurt inzicht in het aantal personen dat een uitkering ontvangt op grond van arbeidsongeschiktheid, bijstand, werkloosheid en ouderdom.
Het is mogelijk dat een persoon aanspraak maakt op meer dan één uitkering. Dat kunnen uitkeringen zijn van eenzelfde soort (bijvoorbeeld twee uitkeringen op grond van de Wet op de arbeidsongeschiktheidsverzekering (WAO)) of twee uitkeringen van verschillende soort (zoals een uitkering op grond van de Werkloosheidswet en een bijstandsuitkering). In het laatste geval wordt de persoon bij beide soorten uitkeringen meegeteld, in het eerste geval slechts één keer (bij de WAO).

Op het gebied van sociale zekerheid vinden er regelmatig revisies plaats. Via het thema sociale zekerheid in StatLine vindt u altijd de meest recente cijfers.   

"
M007744;;129;Zorg;"Deze variabelen geven per gemeente, wijk en buurt inzicht in het aantal personen dat gebruik maakte van jeugdzorg in natura en/of een maatwerkarrangement in het kader van de Wet maatschappelijke ondersteuning.

De cijfers zijn afgerond op vijftallen. Om het risico op onthulling van individuen te voorkomen zijn de waarden 0 tot en met 7 weergegeven als geheim. Hierdoor kan het voorkomen, dat de som van de detailgegevens afwijkt van het totaal.
"
M000200_1;;134;Bedrijfsvestigingen, SBI 2008;"Bedrijfsvestigingen naar activiteit op 1 januari (SBI 2008).
 
Deze tabel bevat gegevens over het aantal vestigingen van bedrijven naar economische activiteit, gebaseerd op de Standaard Bedrijfsindeling 2008 (SBI 2008). De vestigingen zijn voorts ingedeeld naar de gemeentelijke indeling per 1 januari van het verslagjaar, naar wijken en naar buurten. 

Status van de cijfers: 
De cijfers hebben een voorlopig karakter.

Vestiging:
Elke afzonderlijk gelegen ruimte, terrein of complex van ruimten of terreinen, benut door een bedrijf voor uitoefening van de activiteiten. Ieder bedrijf bestaat uit ten minste één vestiging. Meerdere locaties van een bedrijf binnen één postcodegebied worden als één vestiging beschouwd.

Standaard Bedrijfsindeling 2008 (SBI 2008): 
De Nederlandse hiërarchische indeling van economische activiteiten die door het CBS wordt gebruikt om bedrijfseenheden in te delen naar hun hoofdactiviteit. De SBI 2008 is de versie die vanaf 2008 gebruikt wordt.

In deze tabel is gekozen voor de hoofdactiviteit (SBI) van de vestiging. Niet iedere vestiging van een bedrijf houdt zich bezig met de hoofdactiviteit (SBI) van het bedrijf als geheel. Om te weten welke activiteiten worden uitgevoerd in een regio is de hoofdactiviteit (SBI) van de vestiging gebruikt. In de tabel zijn de vestigingen (naast de totalen) ook naar de volgende acht sectoren onderverdeeld:
A  Landbouw, bosbouw en visserij
B-F  Nijverheid en energie
G+I  Handel en horeca
H+J  Vervoer, informatie en communicatie
K-L  Financiële diensten, onroerend goed
M-N  Zakelijke dienstverlening 
O-Q Overheid, onderwijs en zorg
R-U  Cultuur, recreatie, overige diensten

Het aantal vestigingen is afgerond op een veelvoud van vijf. In geval van afrondingen kan het voorkomen, dat de totalen niet precies overeenstemmen met de som der opgetelde getallen. 
In geval de wijk of buurt van het bedrijf onbekend is, wordt dit bedrijf alleen op gemeentelijk niveau meegeteld. De onderverdeling naar sectoren is alleen vermeld bij 20 of meer bedrijven per buurt.
"
M000200_3;M000200_1;136;Bedrijfsvestigingen naar activiteit;
A018928;;145;Motorvoertuigen;"De motorvoertuigen betreffen personenauto's, bedrijfsauto’s en motortweewielers op 1 januari. Tot en met 2018 werden ook enkele niet-verzekerde voertuigen meegenomen. Vanaf 2019 zijn de cijfers berekend op basis van een nieuwe verbeterde selectiemethode, waarbij alleen voertuigen zijn meegenomen die op basis van verzekering deel mochten nemen aan het verkeer.
Aanhangwagens en opleggers zijn niet meegerekend.
De gegevens zijn ontleend aan de Statistiek van de Motorvoertuigen. Deze gegevens zijn gebaseerd op de kentekenregistratie van de Rijksdienst voor het Wegverkeer (RDW). Met behulp van deze registratie zijn tellingen gemaakt van alle voertuigen met actuele, houderschapsplichtige kentekens die op 1 januari in het kentekenbestand voorkomen.
Het aantal geregistreerde motorvoertuigen is inclusief voertuigen van lease- en verhuurbedrijven. Deze motorvoertuigen staan geregistreerd op het adres van het lease- of verhuurbedrijf. De motorvoertuigen die staan ingeschreven op postbusadressen zijn niet meegeteld bij de aantallen van de wijken en buurten, maar wel in de gemeentelijke totalen. De wijken en buurten tellen daarom niet altijd op tot gemeenten. De gemeentelijke totalen komen overeen met de Regionale Kerncijfers Nederland.
"
A018943_1;A018928;146;Personenauto's;
A018943_3;A018943_1;148;"Personenauto's; brandstoftype";
D000349;;154;Nabijheid voorzieningen;"Locatie die bezocht kan worden door personen. De locatie sluit aan bij het gebruik in het dagelijks leven.

De afstand tot een voorziening is berekend over verharde, door auto's te gebruiken wegen, dus niet over fiets- en voetpaden. Overtochten via veerboten zijn hierbij inbegrepen. Er wordt geen rekening gehouden met éénrichtingsverkeer en overige inrijverboden van toegangswegen tot rijks- of provinciale wegen.

"
A025280;D000349;158;Basisonderwijs;"Het basisonderwijs omvat alleen de basisscholen zoals bekend bij de Dienst Uitvoering Onderwijs (DUO). Het speciaal basisonderwijs en de speciale scholen zijn niet meegenomen.
	
Voor de cijfers over onderwijs is met ingang van verslagjaar 2018 een nieuwe methode gebruikt: in de huidige methodiek wordt voor de scholen in het reguliere basisonderwijs gebruik gemaakt van bestanden van de Dienst Uitvoering Onderwijs (DUO). Hierdoor kunnen de cijfers vanaf 2018 licht afwijken van de voorgaande jaren.

De cijfers gelden voor januari van het betreffende schooljaar.

"
T001455_1;;161;Oppervlakte;"Voor de bepaling van oppervlaktecijfers is gebruik gemaakt van het digitale wijk- en buurtgrenzenbestand van het CBS. 

Met totale oppervlakte per gemeente wordt de oppervlakte inclusief het gemeentelijk ingedeeld buitenwater bedoeld. Bij oppervlaktecijfers over wijken en buurten is de oppervlakte land en water opgenomen exclusief buitenwater. Door dit laatste kan de optelling van de wijken of buurten verschillen met de gepubliceerde totalen per gemeente. Deze verschillen doen zich vooral voor bij kustgemeenten.
"
PC000B;;165;Postcode;
T001086;;168;Stedelijkheid;
